Date,Impressions,Clicks,CTR,Conversion,"GMV (€)","Spent (€)","Acos (%) (€)","Roas (%)"
2023-10-23,6760,284,4.2,33,864.4,58.35,6.75,1481.41
2023-10-24,9298,311,3.35,33,823.4,64.01,7.77,1286.36
2023-10-25,4885,193,3.95,21,583.95,51.68,8.85,1129.93
2023-10-26,4748,214,4.51,25,637.75,45.25,7.1,1409.39
2023-10-27,5092,192,3.77,27,701.65,39.55,5.64,1774.08
2023-10-28,5291,197,3.72,14,355.3,40.76,11.47,871.69
2023-10-29,6306,230,3.65,25,657.75,47.47,7.22,1385.61
2023-10-30,6544,247,3.77,21,534.95,50.3,9.4,1063.52
2023-10-31,8037,232,2.89,32,841.4,47.2,5.61,1782.63
2023-11-01,6762,241,3.56,45,1135.75,50.47,4.44,2250.35
2023-11-02,5494,212,3.86,22,628.9,43.84,6.97,1434.53
2023-11-03,5051,220,4.36,24,626.8,46.39,7.4,1351.15
2023-11-04,6606,237,3.59,22,589.9,49,8.31,1203.88
2023-11-05,8697,384,4.42,39,991.05,79.44,8.02,1247.55
2023-11-06,5410,194,3.59,36,832.2,39.96,4.8,2082.58
2023-11-07,4682,199,4.25,30,772.5,40.85,5.29,1891.06
2023-11-08,6824,316,4.63,24,635.8,65.2,10.25,975.15
2023-11-09,5168,178,3.44,41,956.95,36.68,3.83,2608.91
2023-11-10,4749,216,4.55,26,638.7,43.63,6.83,1463.9
2023-11-11,5864,205,3.5,24,613.8,42.6,6.94,1440.85
2023-11-12,6249,247,3.95,45,1133.75,51.33,4.53,2208.75
2023-11-13,5943,257,4.32,37,864.15,53.45,6.19,1616.74
2023-11-14,6211,227,3.66,32,803.4,46.82,5.83,1715.93
2023-11-15,5172,175,3.38,31,709.45,36.28,5.11,1955.49
2023-11-16,5342,170,3.18,27,644.65,35.11,5.45,1836.09
2023-11-17,5597,259,4.63,14,356.3,53.4,14.99,667.23
2023-11-18,6252,249,3.98,27,618.7,51.96,8.4,1190.72
2023-11-19,7356,347,4.72,42,1065.9,72.26,6.78,1475.09
2023-11-20,6726,193,2.87,34,824.3,40.19,4.88,2051.01
2023-11-21,5927,230,3.88,29,751.55,48.69,6.48,1543.54
2023-11-22,6205,227,3.66,33,893.35,47.99,5.37,1861.53
2023-11-23,5304,224,4.22,25,618.75,47.33,7.65,1307.31
2023-11-24,6148,268,4.36,39,995.05,55.97,5.62,1777.83
2023-11-25,4706,205,4.36,28,691.6,44.43,6.42,1556.61
2023-11-26,7232,303,4.19,43,1011.85,64.34,6.36,1572.66
2023-11-27,6549,291,4.44,55,1336.25,62.13,4.65,2150.73
2023-11-28,6096,291,4.77,54,1366.3,62.55,4.58,2184.33
2023-11-29,7365,356,4.83,42,1014.95,75.63,7.45,1341.99
2023-11-30,8298,347,4.18,48,1187.6,74.37,6.26,1596.88
2023-12-01,5894,315,5.34,32,762.4,67.62,8.87,1127.48
2023-12-02,6995,364,5.2,25,638.8,77.57,12.14,823.51
2023-12-03,8306,413,4.97,49,1223.55,87.61,7.16,1396.59
2023-12-04,8436,397,4.71,42,1113.9,85.56,7.68,1301.89
2023-12-05,6932,320,4.62,52,1331.45,68.55,5.15,1942.3
2023-12-06,6520,310,4.76,57,1389.93,64.57,4.65,2152.59
2023-12-07,6527,350,5.36,49,1240.27,74.13,5.98,1673.1
2023-12-08,6488,347,5.35,46,1053.59,73.33,6.96,1436.78
2023-12-09,6294,328,5.21,54,1284.4,70.81,5.51,1813.87
2023-12-10,7679,434,5.65,68,1652.28,93.09,5.63,1774.93
2023-12-11,7275,379,5.21,60,1553.32,83.41,5.37,1862.27
2023-12-12,13196,575,4.36,83,2160.47,195,9.03,1107.93
2023-12-13,16370,609,3.72,109,3059.52,252.91,8.27,1209.73
2023-12-14,15813,593,3.75,63,1680.92,190.74,11.35,881.26
2023-12-15,15827,653,4.13,82,2520.45,212.23,8.42,1187.6
2023-12-16,17600,765,4.35,101,3175.78,218.35,6.88,1454.44
2023-12-17,30865,1352,4.38,148,4614.57,442.7,9.59,1042.37
2023-12-18,30972,1339,4.32,153,4880.81,427.22,8.75,1142.46
2023-12-19,30522,1336,4.38,202,6593.81,437.24,6.63,1508.05
2023-12-20,26731,1073,4.01,155,4977.88,406.2,8.16,1225.48
2023-12-21,24740,913,3.69,109,3509.14,330.56,9.42,1061.57
2023-12-22,14955,616,4.12,59,1817.39,177.06,9.74,1026.43
2023-12-23,8579,328,3.82,48,1460.09,75.57,5.18,1932.1
2023-12-24,8018,327,4.08,45,1388.13,77.87,5.61,1782.62
2023-12-25,8569,355,4.14,29,925.85,83.69,9.04,1106.29
2023-12-26,11876,495,4.17,50,1536.45,121.5,7.91,1264.57
2023-12-27,16065,666,4.15,70,2112.5,157.19,7.44,1343.92
2023-12-28,13752,538,3.91,63,1772.85,124.72,7.04,1421.46
2023-12-29,11844,508,4.29,33,1018.4,115.44,11.34,882.19
2023-12-30,9701,351,3.62,40,1153,77.61,6.73,1485.63
2023-12-31,7061,263,3.73,29,897.6,61.87,6.89,1450.78
2024-01-01,7738,307,3.97,33,1019.35,71.74,7.04,1420.89
2024-01-02,13421,519,3.87,41,1213.05,116.61,9.61,1040.26
2024-01-03,14506,586,4.04,69,1888.55,133.92,7.09,1410.21
2024-01-04,13243,457,3.45,46,1484.7,103.77,6.99,1430.76
2024-01-05,11757,433,3.68,53,1639.4,97.99,5.98,1673.03
2024-01-06,13854,515,3.72,65,1852.8,115.83,6.25,1599.59
2024-01-07,17772,681,3.83,64,1975.8,156,7.9,1266.54
2024-01-08,13506,536,3.97,72,2141.45,119.93,5.6,1785.58
2024-01-09,14413,652,4.52,80,2441.05,147.64,6.05,1653.38
2024-01-10,12241,522,4.26,44,1328.8,118.41,8.91,1122.2
2024-01-11,11559,492,4.26,59,1817.14,110.38,6.07,1646.26
2024-01-12,11285,451,4,49,1441.6,103.45,7.18,1393.52
2024-01-13,14242,584,4.1,51,1466.45,128.64,8.77,1139.96
2024-01-14,14832,605,4.08,68,1941.79,138.47,7.13,1402.32
2024-01-15,20522,802,3.91,46,1407.7,177.57,12.61,792.76
2024-01-16,13521,575,4.25,62,1873.94,132.87,7.09,1410.36
2024-01-17,13441,547,4.07,46,1397.7,124.02,8.87,1127
2024-01-18,11504,478,4.16,43,1206.85,108.37,8.98,1113.64
2024-01-19,11603,460,3.96,46,1250.7,102.82,8.22,1216.4
2024-01-20,12210,444,3.64,62,1782.9,101.48,5.69,1756.9
2024-01-21,16799,651,3.88,67,1973.75,145.41,7.37,1357.37
2024-01-22,12054,410,3.4,56,1545.2,92.52,5.99,1670.13
2024-01-23,12755,550,4.31,88,2649.6,123.86,4.67,2139.19
2024-01-24,12983,596,4.59,94,2814.3,133.83,4.76,2102.89
2024-01-25,11298,501,4.43,94,2806.3,112.39,4,2496.93
2024-01-26,10907,425,3.9,46,1271.7,95.82,7.53,1327.18
2024-01-27,11567,403,3.48,46,1266.7,90.77,7.17,1395.51
2024-01-28,12970,473,3.65,58,1633.15,104.91,6.42,1556.72
2024-01-29,12303,444,3.61,47,1452.65,101.5,6.99,1431.18
2024-01-30,11043,434,3.93,74,2175.35,98.65,4.53,2205.12
2024-01-31,10633,421,3.96,49,1336.59,97.03,7.26,1377.5
2024-02-01,10478,424,4.05,51,1447.45,94.05,6.5,1539.02
2024-02-02,8158,291,3.57,36,1061.2,65.49,6.17,1620.4
2024-02-03,10922,448,4.1,50,1458.5,98.44,6.75,1481.61
2024-02-04,13282,494,3.72,40,1196,109.67,9.17,1090.54
2024-02-05,10466,442,4.22,46,1312.7,97.41,7.42,1347.6
2024-02-06,9495,319,3.36,33,1016.35,72.81,7.16,1395.89
2024-02-07,10701,399,3.73,47,1391.65,102.87,7.39,1352.82
2024-02-08,9026,357,3.96,45,1311.85,83.54,6.37,1570.33
2024-02-09,7827,276,3.53,38,1099.1,63.33,5.76,1735.51
2024-02-10,8186,295,3.6,20,590.05,67.15,11.38,878.7
2024-02-11,11021,378,3.43,66,1967.7,86.71,4.41,2269.29
