Date,Temperature,Precipitation
2017-02-02,8.5,0.843
2017-02-03,8.8,0.611
2017-02-04,5.6,3.306
2017-02-05,4.4,5.623
2017-02-06,4.1,0.026
2017-02-07,2.6,0.498
2017-02-08,0.0,0.557
2017-02-09,-1.3,0.009
2017-02-10,-2.2,0.032
2017-02-11,-0.4,0.975
2017-02-12,0.2,2.158
2017-02-13,1.4,0.0
2017-02-14,3.5,0.0
2017-02-15,6.7,0.081
2017-02-16,6.2,0.185
2017-02-17,7.0,0.308
2017-02-18,4.8,0.0
2017-02-19,6.1,0.447
2017-02-20,8.7,1.482
2017-02-21,8.8,0.727
2017-02-22,8.9,10.708
2017-02-23,7.9,10.889
2017-02-24,4.8,1.828
2017-02-25,5.5,1.011
2017-02-26,8.5,1.392
2017-02-27,8.8,7.346
2017-02-28,4.7,3.105
2017-03-01,5.9,1.252
2017-03-02,6.4,6.715
2017-03-03,5.8,0.253
2017-03-04,8.9,1.049
2017-03-05,7.1,5.997
2017-03-06,5.8,1.583
2017-03-07,6.6,0.021
2017-03-08,6.2,12.33
2017-03-09,7.2,0.319
2017-03-10,6.4,0.0
2017-03-11,7.9,0.0
2017-03-12,8.8,0.0
2017-03-13,6.3,0.0
2017-03-14,7.9,0.0
2017-03-15,8.9,0.0
2017-03-16,9.5,0.0
2017-03-17,8.1,0.455
2017-03-18,8.9,5.751
2017-03-19,10.9,2.57
2017-03-20,10.2,2.819
2017-03-21,7.6,0.892
2017-03-22,7.1,0.0
2017-03-23,8.0,0.0
2017-03-24,8.4,0.0
2017-03-25,8.4,0.0
2017-03-26,8.1,0.0
2017-03-27,10.1,0.0
2017-03-28,10.6,0.007
2017-03-29,11.8,0.198
2017-03-30,15.5,0.0
2017-03-31,14.5,0.321
2017-04-01,10.4,0.261
2017-04-02,9.9,0.0
2017-04-03,9.0,0.0
2017-04-04,9.8,0.0
2017-04-05,8.8,0.0
2017-04-06,8.0,0.009
2017-04-07,10.3,0.0
2017-04-08,10.2,0.0
2017-04-09,12.0,0.0
2017-04-10,10.2,0.0
2017-04-11,9.2,0.0
2017-04-12,9.9,0.222
2017-04-13,9.2,0.473
2017-04-14,9.4,0.004
2017-04-15,9.8,1.487
2017-04-16,8.0,1.976
2017-04-17,6.9,7.752
2017-04-18,6.4,1.519
2017-04-19,5.0,0.0
2017-04-20,6.3,0.0
2017-04-21,10.9,0.05
2017-04-22,8.2,1.115
2017-04-23,7.1,1.075
2017-04-24,9.0,1.266
2017-04-25,6.4,1.907
2017-04-26,5.7,1.093
2017-04-27,6.0,0.18
2017-04-28,8.1,2.387
2017-04-29,8.2,0.022
2017-04-30,11.8,0.0
2017-05-01,12.2,0.596
2017-05-02,11.2,0.567
2017-05-03,10.6,3.503
2017-05-04,10.6,0.511
2017-05-05,9.5,0.123
2017-05-06,12.1,0.009
2017-05-07,11.3,0.0
2017-05-08,10.1,0.023
2017-05-09,8.3,0.0
2017-05-10,9.1,0.0
2017-05-11,14.6,0.0
2017-05-12,15.6,6.533
2017-05-13,14.5,5.023
2017-05-14,13.7,2.2
2017-05-15,14.2,0.137
2017-05-16,19.8,0.08
2017-05-17,21.8,0.009
2017-05-18,15.9,1.078
2017-05-19,13.5,0.693
2017-05-20,13.2,0.575
2017-05-21,14.2,0.0
2017-05-22,17.6,0.0
2017-05-23,15.9,0.0
2017-05-24,15.3,0.0
2017-05-25,16.3,0.0
2017-05-26,19.7,0.0
2017-05-27,22.6,0.0
2017-05-28,18.8,0.009
2017-05-29,20.3,4.98
2017-05-30,17.3,0.18
2017-05-31,16.8,0.0
2017-06-01,15.9,0.0
2017-06-02,19.5,0.0
2017-06-03,18.2,1.443
2017-06-04,15.8,0.0
2017-06-05,16.2,0.0
2017-06-06,15.0,6.145
2017-06-07,14.2,3.323
2017-06-08,16.2,1.778
2017-06-09,16.3,15.345
2017-06-10,17.6,0.0
2017-06-11,19.5,0.041
2017-06-12,16.3,0.053
2017-06-13,16.7,0.0
2017-06-14,17.2,0.009
2017-06-15,19.7,0.0
2017-06-16,16.4,0.0
2017-06-17,18.3,0.0
2017-06-18,20.3,0.0
2017-06-19,23.6,0.0
2017-06-20,21.2,0.0
2017-06-21,20.1,0.0
2017-06-22,22.2,4.773
2017-06-23,18.5,0.0
2017-06-24,17.9,1.768
2017-06-25,17.5,1.426
2017-06-26,16.6,2.215
2017-06-27,16.9,0.028
2017-06-28,18.1,3.22
2017-06-29,17.4,0.464
2017-06-30,16.5,0.604
2017-07-01,16.2,9.383
2017-07-02,16.2,0.205
2017-07-03,16.6,0.049
2017-07-04,18.0,0.27
2017-07-05,18.9,0.0
2017-07-06,19.7,1.45
2017-07-07,20.3,12.815
2017-07-08,18.6,0.246
2017-07-09,17.2,0.0
2017-07-10,19.2,0.105
2017-07-11,18.2,0.254
2017-07-12,15.7,26.149
2017-07-13,15.3,0.023
2017-07-14,14.9,7.255
2017-07-15,17.2,0.29
